,in_degree,pos_in_edges,neg_in_edges,out_degree,pos_out_edges,neg_out_edges
1,198.0,198.0,0.0,184.0,177.0,7.0
2,36.0,35.0,1.0,36.0,34.0,2.0
3,20.0,11.0,9.0,0.0,0.0,0.0
4,40.0,40.0,0.0,52.0,49.0,3.0
5,3.0,3.0,0.0,2.0,2.0,0.0
6,36.0,29.0,7.0,35.0,33.0,2.0
7,186.0,186.0,0.0,188.0,182.0,6.0
8,2.0,2.0,0.0,1.0,1.0,0.0
9,1.0,1.0,0.0,1.0,1.0,0.0
10,4.0,4.0,0.0,7.0,7.0,0.0
13,157.0,156.0,1.0,169.0,158.0,11.0
15,9.0,9.0,0.0,13.0,13.0,0.0
16,1.0,1.0,0.0,0.0,0.0,0.0
17,15.0,15.0,0.0,23.0,18.0,5.0
19,7.0,7.0,0.0,9.0,8.0,1.0
20,10.0,8.0,2.0,0.0,0.0,0.0
21,22.0,21.0,1.0,20.0,20.0,0.0
23,20.0,20.0,0.0,16.0,16.0,0.0
25,94.0,74.0,20.0,0.0,0.0,0.0
26,11.0,11.0,0.0,11.0,10.0,1.0
28,9.0,9.0,0.0,6.0,6.0,0.0
29,28.0,27.0,1.0,28.0,28.0,0.0
31,2.0,2.0,0.0,1.0,1.0,0.0
32,6.0,6.0,0.0,4.0,4.0,0.0
33,28.0,28.0,0.0,27.0,27.0,0.0
34,1.0,1.0,0.0,3.0,3.0,0.0
35,467.0,467.0,0.0,683.0,673.0,10.0
36,31.0,31.0,0.0,30.0,30.0,0.0
37,11.0,11.0,0.0,10.0,10.0,0.0
39,13.0,13.0,0.0,19.0,19.0,0.0
41,76.0,76.0,0.0,83.0,83.0,0.0
44,2.0,1.0,1.0,1.0,1.0,0.0
45,7.0,7.0,0.0,10.0,10.0,0.0
46,1.0,1.0,0.0,1.0,1.0,0.0
47,1.0,1.0,0.0,2.0,2.0,0.0
51,26.0,26.0,0.0,19.0,19.0,0.0
52,1.0,1.0,0.0,1.0,1.0,0.0
53,2.0,2.0,0.0,2.0,2.0,0.0
54,4.0,4.0,0.0,7.0,7.0,0.0
55,1.0,1.0,0.0,1.0,1.0,0.0
56,5.0,5.0,0.0,4.0,4.0,0.0
57,62.0,59.0,3.0,48.0,45.0,3.0
60,54.0,54.0,0.0,52.0,52.0,0.0
61,7.0,5.0,2.0,5.0,5.0,0.0
62,40.0,27.0,13.0,11.0,11.0,0.0
64,53.0,52.0,1.0,63.0,58.0,5.0
65,1.0,1.0,0.0,1.0,1.0,0.0
66,1.0,1.0,0.0,1.0,1.0,0.0
68,3.0,3.0,0.0,4.0,4.0,0.0
69,7.0,7.0,0.0,6.0,6.0,0.0
70,4.0,4.0,0.0,5.0,5.0,0.0
71,1.0,1.0,0.0,1.0,1.0,0.0
72,8.0,8.0,0.0,10.0,10.0,0.0
74,1.0,1.0,0.0,1.0,1.0,0.0
75,8.0,5.0,3.0,7.0,7.0,0.0
76,3.0,3.0,0.0,3.0,3.0,0.0
77,11.0,10.0,1.0,17.0,17.0,0.0
78,10.0,10.0,0.0,7.0,7.0,0.0
79,1.0,1.0,0.0,1.0,1.0,0.0
80,16.0,15.0,1.0,16.0,16.0,0.0
81,8.0,7.0,1.0,5.0,5.0,0.0
83,1.0,1.0,0.0,1.0,1.0,0.0
86,1.0,1.0,0.0,1.0,1.0,0.0
87,2.0,2.0,0.0,1.0,1.0,0.0
88,4.0,4.0,0.0,7.0,7.0,0.0
89,2.0,2.0,0.0,2.0,2.0,0.0
93,11.0,11.0,0.0,9.0,9.0,0.0
94,1.0,1.0,0.0,1.0,1.0,0.0
95,5.0,5.0,0.0,4.0,4.0,0.0
96,29.0,28.0,1.0,36.0,30.0,6.0
97,4.0,4.0,0.0,3.0,3.0,0.0
99,1.0,1.0,0.0,1.0,1.0,0.0
100,7.0,7.0,0.0,9.0,9.0,0.0
101,7.0,7.0,0.0,5.0,4.0,1.0
103,1.0,1.0,0.0,0.0,0.0,0.0
104,44.0,44.0,0.0,46.0,45.0,1.0
105,2.0,2.0,0.0,1.0,1.0,0.0
106,1.0,1.0,0.0,1.0,1.0,0.0
107,2.0,2.0,0.0,0.0,0.0,0.0
108,5.0,5.0,0.0,3.0,3.0,0.0
109,5.0,5.0,0.0,5.0,5.0,0.0
110,12.0,12.0,0.0,12.0,12.0,0.0
111,3.0,3.0,0.0,5.0,5.0,0.0
112,11.0,11.0,0.0,20.0,20.0,0.0
113,26.0,26.0,0.0,30.0,30.0,0.0
114,7.0,7.0,0.0,5.0,5.0,0.0
115,20.0,20.0,0.0,28.0,23.0,5.0
116,1.0,1.0,0.0,1.0,1.0,0.0
119,3.0,3.0,0.0,2.0,2.0,0.0
120,6.0,6.0,0.0,4.0,4.0,0.0
122,1.0,1.0,0.0,2.0,2.0,0.0
125,7.0,7.0,0.0,4.0,4.0,0.0
127,2.0,2.0,0.0,2.0,2.0,0.0
129,5.0,5.0,0.0,2.0,2.0,0.0
131,1.0,1.0,0.0,0.0,0.0,0.0
132,27.0,27.0,0.0,25.0,24.0,1.0
133,2.0,2.0,0.0,2.0,2.0,0.0
134,11.0,11.0,0.0,10.0,9.0,1.0
135,78.0,59.0,19.0,76.0,44.0,32.0
137,2.0,2.0,0.0,2.0,2.0,0.0
138,2.0,2.0,0.0,2.0,2.0,0.0
139,2.0,2.0,0.0,4.0,4.0,0.0
140,1.0,1.0,0.0,1.0,1.0,0.0
141,18.0,18.0,0.0,19.0,18.0,1.0
142,8.0,8.0,0.0,8.0,8.0,0.0
143,15.0,15.0,0.0,17.0,17.0,0.0
144,31.0,30.0,1.0,41.0,41.0,0.0
145,1.0,1.0,0.0,1.0,1.0,0.0
146,12.0,12.0,0.0,12.0,12.0,0.0
147,2.0,2.0,0.0,2.0,2.0,0.0
148,4.0,4.0,0.0,5.0,5.0,0.0
149,25.0,25.0,0.0,31.0,30.0,1.0
150,3.0,3.0,0.0,4.0,4.0,0.0
152,8.0,7.0,1.0,3.0,3.0,0.0
153,4.0,4.0,0.0,4.0,4.0,0.0
154,1.0,1.0,0.0,1.0,1.0,0.0
155,2.0,2.0,0.0,3.0,3.0,0.0
156,6.0,5.0,1.0,5.0,5.0,0.0
157,2.0,2.0,0.0,2.0,2.0,0.0
158,3.0,3.0,0.0,1.0,1.0,0.0
159,22.0,22.0,0.0,20.0,19.0,1.0
160,4.0,4.0,0.0,7.0,7.0,0.0
161,3.0,3.0,0.0,2.0,2.0,0.0
162,2.0,2.0,0.0,2.0,2.0,0.0
163,7.0,7.0,0.0,8.0,8.0,0.0
164,4.0,4.0,0.0,4.0,4.0,0.0
165,2.0,2.0,0.0,1.0,1.0,0.0
166,12.0,11.0,1.0,10.0,10.0,0.0
167,9.0,9.0,0.0,9.0,9.0,0.0
168,1.0,1.0,0.0,1.0,1.0,0.0
169,1.0,1.0,0.0,1.0,1.0,0.0
170,1.0,1.0,0.0,1.0,1.0,0.0
171,42.0,42.0,0.0,42.0,42.0,0.0
172,1.0,1.0,0.0,1.0,1.0,0.0
173,4.0,4.0,0.0,3.0,3.0,0.0
174,3.0,3.0,0.0,3.0,3.0,0.0
175,1.0,1.0,0.0,1.0,1.0,0.0
176,3.0,3.0,0.0,2.0,2.0,0.0
177,5.0,4.0,1.0,8.0,7.0,1.0
178,29.0,29.0,0.0,28.0,28.0,0.0
179,7.0,2.0,5.0,2.0,2.0,0.0
180,10.0,10.0,0.0,8.0,8.0,0.0
181,2.0,2.0,0.0,5.0,5.0,0.0
182,1.0,1.0,0.0,1.0,1.0,0.0
183,3.0,3.0,0.0,2.0,2.0,0.0
184,13.0,13.0,0.0,20.0,17.0,3.0
185,0.0,0.0,0.0,2.0,2.0,0.0
186,8.0,8.0,0.0,7.0,7.0,0.0
187,1.0,1.0,0.0,1.0,1.0,0.0
188,1.0,1.0,0.0,1.0,1.0,0.0
189,3.0,3.0,0.0,2.0,2.0,0.0
190,1.0,1.0,0.0,1.0,1.0,0.0
191,2.0,2.0,0.0,2.0,2.0,0.0
192,12.0,12.0,0.0,15.0,13.0,2.0
193,2.0,2.0,0.0,2.0,2.0,0.0
194,1.0,1.0,0.0,3.0,3.0,0.0
195,1.0,1.0,0.0,1.0,1.0,0.0
196,1.0,1.0,0.0,1.0,1.0,0.0
197,2.0,2.0,0.0,0.0,0.0,0.0
198,40.0,39.0,1.0,38.0,38.0,0.0
199,4.0,4.0,0.0,5.0,5.0,0.0
200,6.0,5.0,1.0,7.0,6.0,1.0
201,4.0,4.0,0.0,2.0,2.0,0.0
202,94.0,94.0,0.0,100.0,99.0,1.0
203,8.0,8.0,0.0,7.0,7.0,0.0
204,25.0,17.0,8.0,20.0,16.0,4.0
205,1.0,1.0,0.0,0.0,0.0,0.0
206,13.0,12.0,1.0,13.0,13.0,0.0
207,6.0,6.0,0.0,6.0,6.0,0.0
208,1.0,1.0,0.0,2.0,2.0,0.0
209,23.0,23.0,0.0,24.0,24.0,0.0
210,1.0,1.0,0.0,1.0,1.0,0.0
211,1.0,1.0,0.0,1.0,1.0,0.0
212,5.0,5.0,0.0,5.0,5.0,0.0
213,1.0,1.0,0.0,1.0,1.0,0.0
214,13.0,13.0,0.0,11.0,11.0,0.0
215,45.0,45.0,0.0,42.0,39.0,3.0
216,9.0,8.0,1.0,9.0,9.0,0.0
217,2.0,2.0,0.0,2.0,2.0,0.0
218,2.0,2.0,0.0,1.0,1.0,0.0
219,16.0,14.0,2.0,14.0,14.0,0.0
220,1.0,1.0,0.0,0.0,0.0,0.0
221,7.0,7.0,0.0,8.0,8.0,0.0
222,11.0,11.0,0.0,11.0,11.0,0.0
223,9.0,8.0,1.0,0.0,0.0,0.0
224,4.0,4.0,0.0,3.0,3.0,0.0
225,3.0,3.0,0.0,5.0,5.0,0.0
227,6.0,6.0,0.0,4.0,4.0,0.0
228,10.0,10.0,0.0,13.0,13.0,0.0
229,4.0,4.0,0.0,2.0,2.0,0.0
230,28.0,28.0,0.0,3.0,3.0,0.0
231,3.0,3.0,0.0,4.0,4.0,0.0
232,1.0,1.0,0.0,1.0,1.0,0.0
233,3.0,3.0,0.0,1.0,1.0,0.0
234,2.0,2.0,0.0,2.0,2.0,0.0
235,9.0,8.0,1.0,9.0,9.0,0.0
236,2.0,2.0,0.0,3.0,3.0,0.0
237,1.0,1.0,0.0,1.0,1.0,0.0
238,4.0,4.0,0.0,4.0,3.0,1.0
239,8.0,8.0,0.0,11.0,10.0,1.0
240,4.0,4.0,0.0,3.0,3.0,0.0
241,5.0,5.0,0.0,7.0,6.0,1.0
242,12.0,10.0,2.0,12.0,11.0,1.0
243,7.0,6.0,1.0,11.0,11.0,0.0
244,5.0,5.0,0.0,4.0,4.0,0.0
245,8.0,7.0,1.0,4.0,4.0,0.0
246,3.0,3.0,0.0,3.0,3.0,0.0
247,1.0,1.0,0.0,1.0,1.0,0.0
248,2.0,2.0,0.0,2.0,2.0,0.0
249,19.0,19.0,0.0,16.0,16.0,0.0
250,3.0,3.0,0.0,2.0,2.0,0.0
251,7.0,7.0,0.0,6.0,6.0,0.0
252,1.0,1.0,0.0,1.0,1.0,0.0
253,0.0,0.0,0.0,1.0,1.0,0.0
254,4.0,4.0,0.0,3.0,3.0,0.0
255,1.0,1.0,0.0,2.0,2.0,0.0
256,26.0,25.0,1.0,25.0,25.0,0.0
257,14.0,12.0,2.0,78.0,78.0,0.0
258,0.0,0.0,0.0,2.0,2.0,0.0
259,1.0,1.0,0.0,2.0,2.0,0.0
260,3.0,2.0,1.0,0.0,0.0,0.0
261,8.0,8.0,0.0,5.0,5.0,0.0
262,7.0,6.0,1.0,5.0,5.0,0.0
